scr,mopt,max_e_activ,max_reward,experiment_number,last_experiment_number
0.00466667,0.07777778,1.8419549035284464,11670.0,396,1999.0
0.00555556,0.07777778,1.7066130452147064,11220.0,586,2149.0
0.002,0.08666667,1.1350963997050016,2520.0,15,1799.0
0.0024444,0.07777778,1.445729811255258,4950.0,255,1849.0
0.00555556,0.08666667,1.9255493687805545,11330.0,40,1799.0
0.00511111,0.08666667,1.969423344258484,11440.0,412,1799.0
0.00377778,0.09555556,2.646066477157718,12220.0,1414,3899.0
0.006,0.07777778,1.6176880030965366,11120.0,41,1799.0
0.00511111,0.06888889,1.5735371309826995,11450.0,93,1799.0
0.00511111,0.06,1.4152541370004903,11460.0,773,2349.0
0.0033333,0.07777778,2.321173850332327,12450.0,1679,8049.0
0.0033333,0.06,1.7968897755750464,12540.0,5333,7549.0
0.00377778,0.06888889,1.9033885155983377,12230.0,923,3149.0
0.00511111,0.07777778,1.7757943060727264,11550.0,209,1899.0
0.0024444,0.08666667,1.9385729752135368,5160.0,2394,3949.0
0.00466667,0.09555556,2.2451795540004293,11670.0,587,3699.0
0.006,0.06888889,1.3482216518872094,11130.0,40,1799.0
0.002,0.07777778,1.751966724108253,4990.0,1950,3549.0
0.00288889,0.09555556,2.921014048374227,11260.0,1754,3299.0
0.00288889,0.06,1.8438404305012897,11560.0,1931,3549.0
0.002,0.06,1.06491652554962,3850.0,1028,2599.0
0.00422222,0.09555556,2.438753119834685,11990.0,195,3099.0
0.006,0.08666667,1.806199324362057,11010.0,231,1799.0
0.00377778,0.08666667,2.403675363007244,12210.0,2382,2449.0
0.00466667,0.06888889,1.6649004844797772,11680.0,103,2599.0
0.00466667,0.08666667,2.0640241804008825,11670.0,200,2299.0
0.00377778,0.07777778,2.157879297242582,12220.0,3506,5099.0
0.0033333,0.09555556,2.827724865269389,12650.0,2818,4299.0
0.0024444,0.06888889,1.3752026256876937,5430.0,900,1799.0
0.00288889,0.08666667,1.9366855810407884,8580.0,1360,2949.0
0.006,0.06,1.272723025436706,11240.0,58,1799.0
0.00422222,0.06,1.5694752728803754,11990.0,1802,2299.0
0.00555556,0.06888889,1.479835911474293,11220.0,67,1799.0
0.002,0.09555556,1.2849985565288609,2560.0,1008,1799.0
0.00422222,0.07777778,2.009958887550405,11890.0,1727,3399.0
0.00466667,0.06,1.4169668680006788,11660.0,1739,2849.0
0.002,0.06888889,1.246344705741623,4000.0,599,2149.0
0.0024444,0.09555556,1.5979326796991626,4250.0,2470,3749.0
0.00288889,0.06888889,1.1973689756628207,4900.0,94,1799.0
0.00377778,0.06,1.6587401925003658,12230.0,249,1949.0
0.006,0.09555556,1.874677668014613,11010.0,490,2099.0
0.00555556,0.09555556,2.006022355027726,11220.0,91,1799.0
0.00511111,0.09555556,2.0784027877952065,11440.0,562,2149.0
0.0033333,0.08666667,2.6136346854433583,12650.0,6999,8449.0
0.0024444,0.06,1.1571122738277777,5600.0,419,1999.0
0.00555556,0.06,1.3456103621652895,11340.0,734,2299.0
0.0033333,0.06888889,2.0766136360689607,12250.0,793,2199.0
0.00288889,0.07777778,1.3767928439738315,5100.0,125,1799.0
0.00422222,0.08666667,2.243606055673291,12000.0,140,3999.0
0.00422222,0.06888889,1.7674654763486202,11890.0,3329,3799.0
